wikipedia_movie_id,movie_name,release_date,all_genres,overview
36036933,Rainbow Drive,1990-09-08,Thriller,"Mike Gallagher is one of Los Angeles' top cops, who is acting head of Hollywood's homicide division. But Gallagher is soon wrenched out of his orderly existence into a dirty world of killing and corruption. Stumbling across a vicious murder on L.A. highway Rainbow Drive, Gallagher senses something strange when reinforcements arrive even before he has called them. When his superiors freeze him out of the case, Gallagher begins his own investigations which propel him into a web of drugs and vice, corruption and cover-up - an intricate web that implicates some of the city's most senior figures."
10274845,Peter Ibbetson,1935,"Romance Film, Drama, Black-and-white","Gogo is a young boy of English extraction growing up in Paris. He is friendly with the neighbor girl, Mimsey. After his mother dies, Gogo is taken to England by his uncle who gives him an English name based on his mother's maiden name, transforming Gogo into Peter Ibbetson. ""So ended the first chapter in the strange foreshadowed life of Peter Ibbetson."" Now an adult Englishman, Ibbetson  is an architect working in Yorkshire on a restoration job for the British Duke of Towers ([[John Halliday . He falls in love with Mary, Duchess of Towers , and she with him, although she is already married. When the duke discovers this, he callously demands they explain themselves. Peter then realizes that Mary is his childhood sweetheart. All these years, Mary has kept, in the dresser beside her bed, the dress she wore at their last childhood meeting. The Duke becomes jealous and pulls a gun on Ibbetson. Ibbetson manages to kill the Duke in self-defense. ""So Death ended the second chapter. And then, in a prison on the bleak English moors..."" Ibbetson is unjustly convicted of murder, sentenced to life in prison, and despairs that he will never see Mary again. However, the lovers are reunited in one another's dreams, which connect them spiritually. Peter can leave prison to join Mary in sunlit glades and meadows, but only in his slumbers. ""...and so, many years went by."" Though the years pass, Peter and Mary remain youthful in their dreams. Mary eventually dies of old age, but she goes to her usual dream rendezvous one last time and speaks to Peter from beyond. Then Peter joins her there."
2976028,Dreamer,2005-09-10,"Sports, Family Film, Drama","Inspired by a true story, Kurt Russell and Dakota Fanning star as the father and daughter who lack a much needed bond. Ben , a horse trainer who takes his work very seriously, neglects his own aspiring daughter while he pours his heart into the care of the horses that he trains. Determined to make good on her father's overdue promise, Cale  prods him one morning to take her along to work by standing in front of his pickup truck just as he starts to head out to the track. Ben, reluctant at first, finally gives in and drives off with her in tow. Throughout the movie Cale continues to prod her father to take her along on some of his work trips, and succeeds. One morning, however, while with her father, a horse named Soñador falls during a race, injuring herself badly enough that Ben's boss, Palmer, demands the horse be put down. Having Cale along, Ben refuses and strikes a bargain with Palmer. Ben, now the owner of a wounded horse, with no job and facing foreclosure on his estate, decides to breed Soñador. Cale, having fallen in love at first sight of Soñador before the accident, begins to sneak out to the barn at night to see her. Cale also sneaks over to see her grandfather, 'Pop', Ben's dad , who loves teaching his young and aspiring horse-loving granddaughter all about horses. One day, overhearing her father's conversation with her mother, Lily , Cale hears her father say that Soñador has ruined them, to which Lily emotionally responds that Soñador is the best thing that has ever happened to them, alluding to the fact that Ben has finally been spending much needed time with Cale. Emotionally hurt after hearing the conversation, Cale sets out to run away and saddles up Soñador. Not knowing of Cale's plan, Ben enters the barn. The door slams behind him just as his eye catches Cale's, sitting atop Soñador. Suddenly startled, Soñador bolts out of the barn with wide-eyed and terrified Cale gripping her bridle and hanging on for dear life. Ben scrambles to his truck and sets out after them. This incident begins to cement the newly-forming bond between father and daughter, and also begins to heal the wounds of the whole family that had grown over the years. Soñador goes from being a negative focal point to the hero of the movie."
2910952,The Seventh Victim,1943,"Gothic Film, Horror, Film noir, Black-and-white, Supernatural","Mary, a young woman  at Miss Highcliff's boarding school, finds out that her sister Jacqueline , who is her only relative, has gone missing and has not paid her tuition in months. The school officials tell her she can only stay on if she works for the school, to pay her tuition. Mary decides to leave school and try to find her sister. She returns to New York City, and finds that her sister had sold her cosmetics business eight months earlier. She locates the apartment Jacqueline was renting, and finds the only things in the room are a chair and a noose hanging from the ceiling. Knowing that her sister has never feared death only makes Mary more anxious and determined to find her. Her investigation leads her to Jacqueline's secret husband Gregory Ward , a failed poet , and a mysterious psychiatrist, Dr. Judd . A private detective  helps her in her investigation, but is stabbed and dies. Dr. Judd helps her locate the sister, who turns out to be hiding from a Satanic cult her co-workers were part of called the Palladists. During the investigation, Ward falls in love with Mary, his sister-in-law. Meanwhile, Jacqueline is kidnapped by the cult members who insist that she kill herself, because the rules of the cult state that anyone who talks about the cult must die. She would be the seventh person condemned under these rules, hence the film's title. However, the cult has rules against violence, and decides that Jacqueline, who is suicidal anyway, should kill herself. When she refuses, the cult members let her leave, only to be stalked on the streets by an assassin. She escapes and returns to Mary's apartment, which is next to her own. Before she can enter though, she meets her neighbor, a deathly ill young woman . The woman tells her she’s afraid to die, but she is tired of keeping quiet and fearing death. She decides to have a night out before she dies. Jacqueline, having lost the will to live, enters the room she rented and kills herself. The sick woman walks down the stairs dressed for a night out and hears a thud, but thinks nothing of it."
4343497,Stepfather II,1989,"Horror, Slasher","Surviving being shot and stabbed at the end of the previous film, the stepfather has been institutionalized in Puget Sound, Washington since, spending his time building model houses in the workshop. Assigned a new doctor named Joseph Danvers the stepfather begins confiding in him to gain his trust, ultimately murdering the doctor during a session by stabbing him in the neck with a blade smuggled out of the workshop. After killing Danvers the stepfather beats a suspicious guard named Ralph Smith to death with his own nightstick with only two strikes and takes his uniform, successfully sneaking out of the sanitarium. Checking into a hotel after robbing and murdering a traveling salesman the stepfather alters his appearance, takes the name Doctor Gene F. Clifford  from the newspaper obituaries and travels to Palm Meadows, Los Angeles after seeing an ad for it on an episode of Dream House. Gene arrives in Palm Meadows and meets real estate agent Carol Grayland  and leases a house just across the street from her and her son Todd. During a session with the wives of the neighborhood, Gene learns Carol's dentist husband, Philip had absconded with his mistress the previous year. Gene begins courting Carol, eventually winning over her and Todd. Gene's plan to marry Carol is soon complicated when Phil returns, wanting to reconcile with his wife. Needing Phil out of the way, Gene persuades Carol to send Phil over for a meeting, during which Gene kills him with a broken bottle, covering up Phil's disappearance afterward by arranging it so that it looks as though he simply ran off again. With Phil gone Gene and Carol arrange to get married. Concerned about her best friend, Carol, local mail carrier Madeline ""Matty"" Crimmins begins looking through Gene's mail, finding a letter addressed to the real Gene Clifford . Confronted by Matty  in the park, Gene persuades her to let him tell Carol the truth about his past, though this turns out to be a lie and later that night Gene kills Matty via strangulation, making her death resemble a suicide by hanging. On his way out Gene takes Matty's last bottle of wine and crosses through the yard of Matty's blind neighbor Sam Watkins, who hears Gene whistling ""Camptown Races,"" which he mentions to Carol the next day. Despite Matty's death, at Gene's insistence, the wedding proceeds as planned. While dressing in the church, Carol recognizes bottles of wine sent by Matty's parents as the same brand Gene had the other night, and overhears Todd whistling ""Camptown Races,"" which he says Gene taught him. Thinking Gene may have had something to do with Matty's death, Carol confronts him, prompting Gene to attack Carol and Todd, the latter of whom he locks in a storage closet. As Gene prepares to kill Carol in the reception area, Todd breaks out of the closet and saves his mother, stabbing Gene in the chest with a claw hammer, seemingly killing him."
5579651,Bad Company,2002-04-26,"Action/Adventure, Thriller, Action, Comedy, Spy","When a mission to retrieve a stolen suitcase bomb goes bad, CIA agent Kevin Pope  is killed. Pope was working undercover as an antiquities dealer under the name Michael Turner. The CIA, which is desperate to complete the mission, discovers that Agent Pope had a twin brother, Jake Hayes , from whom he was separated at birth; their mother died giving birth and Hayes suffered from a severe lung infection that prompted the doctors to separate them because they felt that Hayes was unlikely to live for very long. Hayes hustles chess games, scalps tickets and works at small clubs in Jersey City to make ends meet. Meanwhile Hayes's girlfriend, Julie  grows tired of waiting for him to grow up and decides to move to Seattle, Washington. After the CIA successfully persuades Hayes to participate and begins to train Hayes for a mission that is to take place in Prague , they are initially dismayed by his lack of refinement. Agent Oakes  confronts Hayes, telling him he doesn't trust him. When Hayes begins paying attention, the CIA sets him up in his brother's old apartment in Manhattan to test him and try to bait the men who killed his brother. Hayes is attacked, but escapes unharmed. Looking for a way out, Hayes goes to his foster mother only to be found by Oakes, who persuades him to finish the mission. After arriving in Prague, Hayes - posing as his dead brother - meets with the men selling the suitcase bomb. The seller, Adrik Vas, is an ex-Russian Army Colonel with ties to the Russian Mafia. When they return to their hotel, Hayes is greeted by his brother's ex-girlfriend Nicole . Believing Hayes is his brother, she dines with him and returns to his hotel, where the couple is ambushed by rival buyers. Nicole figures out that Hayes isn't his brother and returns to her assignment covering the Balkans for CNN. Moving forward with the plans, Hayes and Oakes meet up with Adjanic and are able to steal the arming codes. Just as they close the deal, Vas' men double cross them with the rival buyer. When the rival dealers, who are part of a multi-national terrorist organization, learn they can't detonate the bomb because of the missing codes, they kidnap Julie. Hayes gives himself up trying to save his girlfriend, and the terrorists get the codes back and arm the bomb. Now the race begins to find Hayes and the bomb. After interrogating one of the captured terrorists, they track the bomb to Grand Central Station. With the clock ticking, they locate the bomb and the terrorist leader Dragan Adjanic ([[Matthew Marsh , who has started the countdown. Oakes rescues Hayes by killing two terrorists. As Hayes starts to enter the codes to disarm the bomb, Adjanic holds Julie hostage. In order to distract Andre, Hayes pretends to shoot Oakes, and they kill Adjanic by shooting him repeatedly. Hayes is able to disarm the bomb just prior to detonation. At the ending of the film, Hayes visits the memorial for deceased secret agents to visit his brother's grave. Later on, Oakes comes up to Hayes at Hayes's wedding and warns him that a dangerous criminal has escaped from prison and is seeking revenge upon Kevin Pope, but since Kevin is dead and Hayes was impersonating him, the criminal thinks Hayes is Kevin. Hayes begins to panic and demand that Oakes has to protect him, but Oakes starts laughing as he reveals that it was just a joke and he really just came for the wedding."
17806585,Tarzan's Revenge,1938-01-07,"Action/Adventure, Action, Jungle Film, Adventure","Eleanor Reed  accompanies her parents, Roger and Penny , and Nevin Potter , her fiance, on an expedition to Africa to capture wild animals to sell to a zoo. Ben Alleu Bey  spots Eleanor and wishes her to become the one hundredth wife in his harem. When she refuses, he follows their safari. Both groups are followed closely by Tarzan, who releases the animals and woos Eleanor away from both Nevin and Bey. When Nevin discovers that Eleanor plans to remain behind with Tarzan, he attempts to kill him, but only grazes his shoulder with a round fired at close range. Tarzan attacks Nevin, but releases him at Eleanor's behest. As the Reeds' ship sails down the river, Tarzan and Eleanor go for a swim."
915306,Better Off Dead,1985,"Romantic comedy, Black comedy, Romance Film, Comedy, Teen","The story takes place in the fictional town of Greendale in ""the state of Northern California"" and centers on high-schooler Lane Myer , whose girlfriend Beth  dumps him for the arrogant and bullying captain of the high school ski team, Roy Stalin. Lane cannot get past this rejection and decides that death is the only way out of his misery. His half-hearted attempts at suicide, however, always fail, with comedic consequences. Lane's family is odd: his mother, Jenny  is a sort of deranged Stepford wife and perhaps the world's worst cook; his genius little brother, Badger never speaks but can build lasers and attract trashy women; and his father, Al  is convinced Lane is using drugs. Lane's best friend, Charles de Mar  attempts to inhale everyday substances, like the nitrous oxide in a whipped cream can , Jell-O or snow, as if it were cocaine because he ""can't even get real drugs here."" The film also introduces two Japanese drag racing brothers, one of whom  learned English by impersonating Howard Cosell. As Lane attempts to either end his life or win back his ex-girlfriend, he gradually gets to know a new girl: a French foreign-exchange student named Monique . She is staying with Lane's neighbors (Laura Waterbury and [[Dan Schneider  across the street, who are so annoying that she pretends she cannot speak English. Monique turns out to be a fan of the Brooklyn Dodgers  and is a tough, confident soul. She helps Lane fix up his 1967 Camaro and rekindles Lane's confidence and his will to live through ""language lessons"" in the international language of love. The climactic scene involves a ski competition against Roy Stalin on a treacherous slope called the K-12. As the two rivals race, Johnny, Lane's persistent paperboy pursues him, repeating that he wants two dollars that are owed ."
5451260,The Las Vegas Story,1952-01-30,"Marriage Drama, Drama, Black-and-white, Film noir, Crime Drama","An ex-lounge singer  revisiting Las Vegas with her shady husband  encounters a cop  with whom she'd had an affair years before, and who comes in handy during the subsequent fast-paced mayhem. Hoagy Carmichael portrays Happy, the eccentric pianist at the bar where the singer used to work."
4408692,God Grew Tired of Us,2006,"Culture & Society, History, Indie, Social issues, Documentary","God Grew Tired Of Us chronicles the arduous journey of three young Southern Sudanese men, John Bul Dau, Daniel Pach and Panther Bior, to the United States where they strive for a brighter future. As young boys in the 1980s, they had walked a thousand miles to escape their war-ridden homeland, and then had to make another arduous journey to escape Ethiopia. During the five years they walked in search of safety, thousands died from starvation, dehydration, bomb raids and genocidal murder. Finally, they found relative safety in Kenya’s Kakuma refugee camp. In 2001, 3,600 lost boys, including John, Daniel and Panther, were invited by the United States to live in America. Assisted by Catholic Charities International, the three boys uproot their lives and once again embark on a journey, leaving behind thousands of other refugees who, in the course of their traumatic odyssey, have become their adopted extended family. They must now learn to adapt to the shock of being thrust into the economically intense culture of the United States, learning new customs, adapting to new and strange foods, coping with the ordeal of getting, and keeping a job, or multiple jobs, while never forgetting the loved ones they left behind in Africa. They dedicate themselves to doing whatever they can to help those they left behind in Kakuma, and to discovering the fate of their parents and family. The title comes from a statement by John, in expressing that he thought the suffering and killings he saw during his countries civil war may have been the final judgment on the earth spoken of in the Bible, because ""God was tired of us,"" ""tired of the of bad things the people were doing."" God Grew Tired Of Us was produced, written and directed by Christopher Dillon Quinn, executive produced by Brad Pitt and narrated by Nicole Kidman. The title of the documentary is a quote from John Dau discussing the despair he and other Sudanese felt during the civil war.<ref name http://www.washingtonpost.com/wp-dyn/content/article/2007/01/19/AR2007011901571.html |title  The Washington Post |date  2007-01-31| author English }}"
